id,key,value,type
27526178,ele,13,regular
27526178,name,Houston,regular
27526178,am,ሂውስተን,name
27526178,ar,هيوستن,name
27526178,az,Hyuston,name
27526178,be,Х'юстан,name
27526178,bg,Хюстън,name
27526178,bn,হিউস্টন,name
27526178,ce,Хьюстон,name
27526178,el,Χιούστον,name
27526178,eo,Hustono,name
27526178,fa,هیوستون,name
27526178,gu,હ્યુસ્ટન,name
27526178,he,יוסטון,name
27526178,hi,ह्युस्टन,name
27526178,hr,"Houston, Teksas",name
27526178,hy,Հյուստոն,name
27526178,ja,ヒューストン,name
27526178,ka,ჰიუსტონი,name
27526178,kk,Хьюстон,name
27526178,kn,ಹ್ಯೂಸ್ಟನ್,name
27526178,ko,휴스턴,name
27526178,ku,Houston (Teksas),name
27526178,kw,"Houston, Teksas",name
27526178,la,Hustonia (Texia),name
27526178,lt,Hiustonas,name
27526178,lv,Hjūstona,name
27526178,mk,Хјустон,name
27526178,ml,ഹ്യൂസ്റ്റൺ (ടെക്സസ്),name
27526178,mr,ह्युस्टन,name
27526178,my,ဟူစတန်မြို့,name
27526178,ne,ह्युस्टन,name
27526178,oc,Houston,name
27526178,os,Хьюстон,name
27526178,pa,ਹੂਸਟਨ,name
27526178,pt,Houston,name
27526178,ru,Хьюстон,name
27526178,sl,"Houston, Teksas",name
27526178,sr,Хјустон,name
27526178,ta,ஹியூஸ்டன்,name
27526178,te,హ్యూస్టన్,name
27526178,th,ฮิวสตัน,name
27526178,tl,"Houston, Teksas",name
27526178,ug,Hyuston,name
27526178,uk,Х'юстон,name
27526178,ur,ہیوسٹن,name
27526178,uz,Hyuston,name
27526178,yi,היוסטן,name
27526178,zh,休斯敦,name
27526178,place,city,regular
27526178,population,2100263,regular
27526178,date,2010,population
27526178,source,US Census 2010,population
27526178,name:oc,Lo Congrès,source
27526178,wikidata,Q16555,regular
27526178,wikipedia,en:Houston,regular
151327915,ele,24,regular
151327915,gnis:County,Harris,regular
151327915,gnis:County_num,201,regular
151327915,gnis:ST_alpha,TX,regular
151327915,gnis:ST_num,48,regular
151327915,id,1350960,gnis
151327915,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151327915,name,Aldine,regular
151327915,place,town,regular
151327915,population,15869,regular
151335252,ele,26,regular
151335252,gnis:County,Fort Bend,regular
151335252,gnis:County_num,157,regular
151335252,gnis:ST_alpha,TX,regular
151335252,gnis:ST_num,48,regular
151335252,id,1347777,gnis
151335252,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151335252,name,Stafford,regular
151335252,place,village,regular
151335252,population,17693,regular
151336814,population,4600;2006,census
151336814,ele,16,regular
151336814,gnis:County,Brazoria,regular
151336814,gnis:County_num,039,regular
151336814,gnis:ST_alpha,TX,regular
151336814,gnis:ST_num,48,regular
151336814,id,1340905,gnis
151336814,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151336814,name,Manvel,regular
151336814,place,town,regular
151336814,population,5179,regular
151340355,ele,8,regular
151340355,gnis:County,Harris,regular
151340355,gnis:County_num,201,regular
151340355,gnis:ST_alpha,TX,regular
151340355,gnis:ST_num,48,regular
151340355,id,2034871,gnis
151340355,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151340355,name,Cedar Bayou,regular
151340355,place,hamlet,regular
151346062,ele,61,regular
151346062,gnis:County,Waller,regular
151346062,gnis:County_num,473,regular
151346062,gnis:ST_alpha,TX,regular
151346062,gnis:ST_num,48,regular
151346062,id,1379048,gnis
151346062,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151346062,name,Second Corinth,regular
151346062,place,hamlet,regular
151347438,place,hamlet,abandoned
151347438,ele,27,regular
151347438,gnis:Class,Populated Place,regular
151347438,gnis:County,Harris,regular
151347438,gnis:County_num,201,regular
151347438,gnis:ST_alpha,TX,regular
151347438,gnis:ST_num,48,regular
151347438,id,1380876,gnis
151347438,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151347438,name,Lois,regular
151349712,population,857;2006,census
151349712,ele,24,regular
151349712,gnis:County,Fort Bend,regular
151349712,gnis:County_num,157,regular
151349712,gnis:ST_alpha,TX,regular
151349712,gnis:ST_num,48,regular
151349712,id,1378280,gnis
151349712,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151349712,name,Fairchilds,regular
151349712,place,village,regular
151349712,population,857,regular
151353088,ele,27,regular
151353088,gnis:Class,Populated Place,regular
151353088,gnis:County,Harris,regular
151353088,gnis:County_num,201,regular
151353088,gnis:ST_alpha,TX,regular
151353088,gnis:ST_num,48,regular
151353088,id,1374065,gnis
151353088,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151353088,name,Highland Heights,regular
151353088,place,neighbourhood,regular
151356757,population,9939;2006,census
151356757,ele,9,regular
151356757,gnis:County,Harris,regular
151356757,gnis:County_num,201,regular
151356757,gnis:ST_alpha,TX,regular
151356757,gnis:ST_num,48,regular
151356757,id,1374254,gnis
151356757,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151356757,name,Jacinto City,regular
151356757,place,village,regular
151356757,population,9939,regular
151365231,highway,turning_circle,regular
151365279,highway,turning_loop,regular
151365405,highway,turning_loop,regular
151366400,population,1625;2006,census
151366400,ele,15,regular
151366400,gnis:County,Harris,regular
151366400,gnis:County_num,201,regular
151366400,gnis:ST_alpha,TX,regular
151366400,gnis:ST_num,48,regular
151366400,id,1347529,gnis
151366400,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151366400,name,Southside Place,regular
151366400,place,village,regular
151366400,population,1625,regular
151367077,highway,traffic_signals,regular
151367599,highway,traffic_signals,regular
151368302,highway,turning_circle,regular
151368687,barrier,gate,regular
151368878,railway,level_crossing,regular
151369523,noexit,yes,regular
151370084,railway,level_crossing,regular
151372799,highway,traffic_signals,regular
151372903,railway,level_crossing,regular
151373673,power,tower,regular
151373687,power,tower,regular
151378158,highway,traffic_signals,regular
151378619,noexit,yes,regular
151378916,highway,motorway_junction,regular
151378916,ref,126A,regular
151382445,ele,44,regular
151382445,gnis:County,Montgomery,regular
151382445,gnis:County_num,339,regular
151382445,gnis:ST_alpha,TX,regular
151382445,gnis:ST_num,48,regular
151382445,id,1338770,gnis
151382445,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151382445,name,Lakeland,regular
151382445,place,hamlet,regular
151382552,highway,turning_loop,regular
151383854,ele,54,regular
151383854,gnis:County,Waller,regular
151383854,gnis:County_num,473,regular
151383854,gnis:ST_alpha,TX,regular
151383854,gnis:ST_num,48,regular
151383854,id,1363046,gnis
151383854,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151383854,name,Monaville,regular
151383854,place,hamlet,regular
151384010,railway,level_crossing,regular
151384526,highway,turning_circle,regular
151385392,highway,traffic_signals,regular
151386377,noexit,yes,regular
151390944,barrier,gate,regular
151392088,ele,47,regular
151392088,gnis:County,Wharton,regular
151392088,gnis:County_num,481,regular
151392088,gnis:ST_alpha,TX,regular
151392088,gnis:ST_num,48,regular
151392088,id,1340001,gnis
151392088,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151392088,name,Lissie,regular
151392088,place,village,regular
151395084,highway,turning_loop,regular
151395794,barrier,gate,regular
151396060,ele,20,regular
151396060,gnis:County,Fort Bend,regular
151396060,gnis:County_num,157,regular
151396060,gnis:ST_alpha,TX,regular
151396060,gnis:ST_num,48,regular
151396060,id,1378234,gnis
151396060,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151396060,name,Duke,regular
151396060,place,hamlet,regular
151396060,wikidata,Q16992113,regular
151396405,highway,traffic_signals,regular
151397001,highway,motorway_junction,regular
151397001,ref,23A,regular
151401163,ele,42,regular
151401163,gnis:County,Montgomery,regular
151401163,gnis:County_num,339,regular
151401163,gnis:ST_alpha,TX,regular
151401163,gnis:ST_num,48,regular
151401163,id,1348215,gnis
151401163,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151401163,name,Tamina,regular
151401163,place,hamlet,regular
151401163,wikidata,Q7681457,regular
151402030,noexit,yes,regular
151402233,highway,traffic_signals,regular
151402362,ele,24,regular
151402362,gnis:County,Liberty,regular
151402362,gnis:County_num,291,regular
151402362,gnis:ST_alpha,TX,regular
151402362,gnis:ST_num,48,regular
151402362,id,1377112,gnis
151402362,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151402362,name,Dowdel Settlement,regular
151402362,place,hamlet,regular
151402392,noexit,yes,regular
151405750,highway,turning_circle,regular
151407314,highway,traffic_signals,regular
151407600,barrier,gate,regular
151408662,ele,34,regular
151408662,gnis:County,Montgomery,regular
151408662,gnis:County_num,339,regular
151408662,gnis:ST_alpha,TX,regular
151408662,gnis:ST_num,48,regular
151408662,id,1379102,gnis
151408662,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151408662,name,Spring Hills,regular
151408662,place,hamlet,regular
151411649,ele,13,regular
151411649,gnis:County,Liberty,regular
151411649,gnis:County_num,291,regular
151411649,gnis:ST_alpha,TX,regular
151411649,gnis:ST_num,48,regular
151411649,id,1379080,gnis
151411649,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151411649,name,Simmons Bottom,regular
151411649,place,hamlet,regular
151412672,population,254;2006,census
151412672,ele,33,regular
151412672,gnis:County,Montgomery,regular
151412672,gnis:County_num,339,regular
151412672,gnis:ST_alpha,TX,regular
151412672,gnis:ST_num,48,regular
151412672,id,1388602,gnis
151412672,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151412672,name,Woodloch,regular
151412672,place,village,regular
151412672,population,254,regular
151414390,railway,level_crossing,regular
151414693,highway,motorway_junction,regular
151421458,highway,traffic_signals,regular
151426914,highway,motorway_junction,regular
151426914,noref,yes,regular
151432715,railway,level_crossing,regular
151433273,population,6150;2006,census
151433273,ele,61,regular
151433273,gnis:County,Austin,regular
151433273,gnis:County_num,015,regular
151433273,gnis:ST_alpha,TX,regular
151433273,gnis:ST_num,48,regular
151433273,id,1346849,gnis
151433273,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151433273,name,Sealy,regular
151433273,place,town,regular
151433273,population,6150,regular
151434768,highway,motorway_junction,regular
151434768,ref,786,regular
151434875,railway,level_crossing,regular
151435020,barrier,gate,regular
151435919,highway,motorway_junction,regular
151435919,ref,49A,regular
151435947,highway,stop,regular
151436017,ele,55,regular
151436017,gnis:County,Austin,regular
151436017,gnis:County_num,015,regular
151436017,gnis:ST_alpha,TX,regular
151436017,gnis:ST_num,48,regular
151436017,id,1378952,gnis
151436017,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151436017,name,Rexville,regular
151436017,place,hamlet,regular
151436017,wikidata,Q14711278,regular
151437406,highway,motorway_junction,regular
151437406,ref,33,regular
151439657,railway,level_crossing,regular
151439998,highway,turning_circle,regular
151442073,ele,19,regular
151442073,gnis:County,Harris,regular
151442073,gnis:County_num,201,regular
151442073,gnis:ST_alpha,TX,regular
151442073,gnis:ST_num,48,regular
151442073,id,1357009,gnis
151442073,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151442073,name,Emerson Place,regular
151442073,place,hamlet,regular
151443825,railway,level_crossing,regular
151445622,highway,traffic_signals,regular
151449285,population,315;2006,census
151449285,ele,20,regular
151449285,gnis:County,Fort Bend,regular
151449285,gnis:County_num,157,regular
151449285,gnis:ST_alpha,TX,regular
151449285,gnis:ST_num,48,regular
151449285,id,1348510,gnis
151449285,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151449285,name,Thompsons,regular
151449285,place,village,regular
151449285,population,315,regular
151449466,railway,level_crossing,regular
151451217,highway,traffic_signals,regular
151451503,ele,9,regular
151451503,gnis:County,Harris,regular
151451503,gnis:County_num,201,regular
151451503,gnis:ST_alpha,TX,regular
151451503,gnis:ST_num,48,regular
151451503,id,1332997,gnis
151451503,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151451503,name,Clinton Park,regular
151451503,place,hamlet,regular
151452529,highway,give_way,regular
151453257,noexit,yes,regular
151460990,noexit,yes,regular
151461303,railway,level_crossing,regular
151461460,highway,motorway_junction,regular
151461460,noref,yes,regular
151461967,noexit,yes,regular
151464269,population,6837;2006,census
151464269,ele,74,regular
151464269,gnis:County,Waller,regular
151464269,gnis:County_num,473,regular
151464269,gnis:ST_alpha,TX,regular
151464269,gnis:ST_num,48,regular
151464269,id,1337592,gnis
151464269,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151464269,name,Hempstead,regular
151464269,place,town,regular
151464269,population,6837,regular
151467104,highway,motorway_junction,regular
151467104,noref,yes,regular
151468755,highway,motorway_junction,regular
151468755,ref,8A,regular
151469356,railway,level_crossing,regular
151470027,highway,turning_circle,regular
151471511,highway,motorway_junction,regular
151471511,ref,30B,regular
151475349,noexit,yes,regular
151481665,highway,motorway_junction,regular
151481665,noref,yes,regular
151482123,railway,level_crossing,regular
151483413,source,Bing,regular
151483673,highway,give_way,regular
151485543,highway,motorway_junction,regular
151485543,noref,yes,regular
151486320,ele,14,regular
151486320,gnis:County,Harris,regular
151486320,gnis:County_num,201,regular
151486320,gnis:ST_alpha,TX,regular
151486320,gnis:ST_num,48,regular
151486320,id,1379221,gnis
151486320,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151486320,name,Walden Woods,regular
151486320,place,hamlet,regular
151490484,access,private,regular
151490484,barrier,gate,regular
151491698,barrier,gate,regular
151493639,ele,26,regular
151493639,gnis:County,Fort Bend,regular
151493639,gnis:County_num,157,regular
151493639,gnis:ST_alpha,TX,regular
151493639,gnis:ST_num,48,regular
151493639,id,1378175,gnis
151493639,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151493639,name,Crabb,regular
